,docs,target,docs_clean,projected_topic
0,"The real question here in my opinion is what Motorola processors running system
7 on a MAC are comparable to what Intel processors running Windows on a PC?  I
recall there being a conversation here that a 486/25 running Windows benchmarks
at about the same speed as 25Mhz 030 in system 7.  I don't know if that is
true, but I would love to hear if anyone has any technical data on this.

-David",4,real question opinion motorola processors running system   mac comparable intel processors running windows pc  recall conversation        running windows benchmarks speed   mhz     system    don t know true  would love hear anyone technical data this   david,computers
1,"Please could someone in the US give me the current street 
prices on the following, with and without any relevant taxes:

 8 Mb 72 pin SIMM
16 Mb 72 pin SIMM (both for Mac LC III)

Are any tax refunds possible if they are to be exported
to the UK? Can you recommend a reliable supplier?",4,please could someone us give current street prices following  without relevant taxes    mb    pin simm    mb    pin simm  both mac lc iii  tax refunds possible exported uk  recommend reliable supplier ,classifieds
2,"Can somebody please help me with information about an
American Magnetics Corporation Magstripe Card Reader that
I recently bought locally from a surplus dealer.

On the rear it has the following information:

	American Magnetics Corporation
	Carson, CA, USA
	Magstripe Card Reader
	Model 41,
	P/N 507500 - 2300112311

It is fitted with a cable with a RS232 Cannon 25-pin connector on
the end and has a separate power connector like the once used with
wall chargers.

Frode",12,somebody please help information american magnetics corporation magstripe card reader recently bought locally surplus dealer  rear following information  american magnetics corporation carson  ca  usa magstripe card reader model     p n                     fitted cable rs    cannon    pin connector end separate power connector like used wall chargers  frode,computers
3,"In article <2077@rwing.UUCP> pat@rwing.UUCP (Pat Myrto) writes:
>I am sick, dismayed, discouraged.  And ASHAMED of our Administration.
>
>Anybody for impeachment?

I have already called senators, legislators and the Governor demanding
that the warrants be unsealed, and that all involved in this atrocity
(including the President, Attorney General and Governor) be suspended
pending an investigation.

I seriously doubt, however, that anything will ever be done.


Welcome to Amerika!

",16,article       rwing uucp  pat rwing uucp  pat myrto  writes   i sick  dismayed  discouraged  ashamed administration     anybody impeachment  already called senators  legislators governor demanding warrants unsealed  involved atrocity  including president  attorney general governor  suspended pending investigation  seriously doubt  however  anything ever done  welcome amerika ,politics
4,"From article <1pq6i2$a1f@news.ysu.edu>, by ak296@yfn.ysu.edu (John R. Daker):
> 
> Cup holders (driving is an importantant enough undertaking)
> Ashtrays (smokers seem to think it's just fine to use the road)

	Oh, sure -- sorry, but the absence of a cupholder is not gonna
discourage anyone from eating/drinking in the car;  let's just put one
in anyway, so at least they don't have the further distraction of trying
not to spill it.
	Furthermore, you are obviously not a smoker; on a cold day, it
takes a certain skill to toss a butt out of a cracked window without having
it wind-deflect into the back seat.  Also, just 'cause some smokers use
the window, doesn't mean all of us do.
	This reminds me of *one* pleasant feature in the otherwise
ergonomically-hellish interior of the Alfa Romeo Milano:  you could ash
your cigarette without even removing your hand from the wheel; the 'tray
was *right*there*.

> Fake convertible roofs and vinyl roofs.
> Any gold trim.

	These, I will agree, are abominations, right along with the fake
continental spare-tire kit -- it's sad watching those little old ladies 
try to load their groceries into the trunk with that huge tire-medallion
in the way.
	Most pitiful fake convertible top: on a ""Cadillac"" Cimarron, with
all the chrome door trim still visible -- not fooling *anyone*.
Of course, there was that Hyundai Excel I once saw...",7,article   pq i  a f news ysu edu   ak    yfn ysu edu  john r  daker       cup holders  driving importantant enough undertaking    ashtrays  smokers seem think it s fine use road  oh  sure    sorry  absence cupholder gonna discourage anyone eating drinking car  let s put one anyway  least don t distraction trying spill it  furthermore  obviously smoker  cold day  takes certain skill toss butt cracked window without wind deflect back seat  also   cause smokers use window  doesn t mean us do  reminds  one  pleasant feature otherwise ergonomically hellish interior alfa romeo milano  could ash cigarette without even removing hand wheel   tray  right there     fake convertible roofs vinyl roofs    gold trim  these  agree  abominations  right along fake continental spare tire kit    it s sad watching little old ladies try load groceries trunk huge tire medallion way  pitiful fake convertible top   cadillac  cimarron  chrome door trim still visible    fooling  anyone   course  hyundai excel saw   ,classifieds
5,"In article <C5r5vt.941@news.cso.uiuc.edu> cka52397@uxa.cso.uiuc.edu (OrioleFan@uiuc) writes:
>jmann@vineland.pubs.stratus.com (Jim Mann) writes:

[deleted]

>	Someone told me this game started at 10:05 cdt.  Is this true??/ Who
>in their right mind would go to a game on monday at 11AM????

Keep in mind this was in Massachussetts.  Today was Patriots Day, a state
holiday.  I think it might be a floating holiday, but given that the
Marathon also happens the same day, most people don't go in.


-- 

#include <std_disclaimer.h>",9,article  c r vt     news cso uiuc edu  cka      uxa cso uiuc edu  oriolefan uiuc  writes   jmann vineland pubs stratus com  jim mann  writes   deleted    someone told game started       cdt  true     in right mind would go game monday   am     keep mind massachussetts  today patriots day  state holiday  think might floating holiday  given marathon also happens day  people don t go in      include  std disclaimer h ,politics
6,"I have this used equipment for sale, everything is negotiable!

1200 Baud Compuadd Internal Modem, all docs and software    $ 25.00

SCO UNIX V3.2.2 All disks and Docs (Has UUCP/all Utils)     $150.00

Old 1.2MB floppy drive, functional, out of an old 286.      $ 20.00

Dead ST1196 80MB RLL drive, don't know whats wrong with it. $ 20.00

Old Joystick, don't remember the brand name                 $ 10.00

Old Boat Anchor CGA Monitor with full length CGA CArd       $ 20.00

Serial Card 25 Pin                                          $ 10.00

Test Drive III Accolade                                     $ 20.00",6,used equipment sale  everything negotiable       baud compuadd internal modem  docs software         sco unix v      disks docs  has uucp all utils          old    mb floppy drive  functional  old              dead st       mb rll drive  don t know whats wrong it          old joystick  don t remember brand name         old boat anchor cga monitor full length cga card         serial card    pin         test drive iii accolade        ,computers
7,"I just recently bought a 4 MB ram card for my original mac portable 
(backlit) and have since had some bizarre crashes. It happens when I put 
the machine to sleep and wake the machine up. sometimes it will just 
freeze the cursor and lock the machine up forcing me to push the reset 
switch. Other times it will give me the usual bomb box with the error 
message of ""Co processor not installed"". 

I know one solution is NOT to put the machine to sleep, but does anyone 
have any ideas on what could be causing this or better yet what might fix 
it? The memory card is Psuedostatic ram and goes into the PDS Slot. That 
probably figures into the problem. the manufacturer is King Memory (Not 
kingston) from irvine, CA. They say the problem is in my machine. 

Any Ideas? -- Gene Wright.
",4,recently bought   mb ram card original mac portable  backlit  since bizarre crashes  happens put machine sleep wake machine up  sometimes freeze cursor lock machine forcing push reset switch  times give usual bomb box error message  co processor installed   know one solution put machine sleep  anyone ideas could causing better yet might fix it  memory card psuedostatic ram goes pds slot  probably figures problem  manufacturer king memory  not kingston  irvine  ca  say problem machine  ideas     gene wright ,computers
8,"In article <Apr.5.23.31.36.1993.23919@athos.rutgers.edu> by028@cleveland.freenet.edu (Gary V. Cavano) writes:
>I'm new to this group, and maybe this has been covered already,
>but does anybody out there see the current emphasis on the
>environment being turned (unintentionally, of course) into
>pantheism?

Yes.

(I am adamantly an environmentalist.  I will not use styrofoam table service.
Please keep that in mind as you read this post - I do not wish to attack
environmentalism)

A half truth is at least as dangerous as a complete lie.  A complete lie will
rarely be readily accepted, while a half truth (the lie subtly hidden) is more
powerfully offered by one who masquerades as an angel of light.

Satan has (for some people) loosened the grip on treating the earth as something
other than God's intricate handiwork, something other than that on which the
health of future generations is based.  It is being treated with respect.  You
think he's going to happily leave it at that?  No.  When one error is rejected,
it is his style to push people to the opposite error.  Therefore the earth is
not God's intricate handiwork, not because it is rubbish, but because it is
God.  Mother earth is the one you are to primarily love and serve.

I see two facets of a response to it:

1: Care for the environment.  Treat it with proper respect, both because it is
   God's intricate handiwork and the health of future generation, and because
   showing the facet of one who is disregardful of such things does not
   constitute what the Apostle Paul called ""becoming all things to all men so
   that by all possible means I might save some.""

   Don't say ""Forget the environment, I've got important things to spend my time
   on."" - putting your foot in your mouth in this manner will destroy your
   credibility in expressing the things that _are_ more important.

2: Show that it is not the ultimate entity, that it is creature and not
   creator.  Show that its beauty and glory points to a greater beauty and
   glory.  Show that it is not the ultimate tapestry, but one of many cords
   woven in the infinite tapestry.",15,article  apr                       athos rutgers edu  by    cleveland freenet edu  gary v  cavano  writes   i m new group  maybe covered already   but anybody see current emphasis  environment turned  unintentionally  course   pantheism  yes   i adamantly environmentalist  use styrofoam table service  please keep mind read post   wish attack environmentalism  half truth least dangerous complete lie  complete lie rarely readily accepted  half truth  the lie subtly hidden  powerfully offered one masquerades angel light  satan  for people  loosened grip treating earth something god s intricate handiwork  something health future generations based  treated respect  think he s going happily leave that  no  one error rejected  style push people opposite error  therefore earth god s intricate handiwork  rubbish  god  mother earth one primarily love serve  see two facets response it     care environment  treat proper respect  god s intricate handiwork health future generation  showing facet one disregardful things constitute apostle paul called  becoming things men possible means might save some   don t say  forget environment  i ve got important things spend time on     putting foot mouth manner destroy credibility expressing things  are  important     show ultimate entity  creature creator  show beauty glory points greater beauty glory  show ultimate tapestry  one many cords woven infinite tapestry ,politics
9,"In <Apr.22.00.57.03.1993.2118@geneva.rutgers.edu> jprzybyl@skidmore.edu writes:

> I may be wrong, but wasn't Jeff Fenholt part of Black Sabbath?  He's a
> MAJOR brother in Christ now.  He totally changed his life around, and

      Why should he have been any different ""then""? Ozzy Osbourne,
ex-singer and main character of the Black Sabbath of good ole days past,
is and always was a devout catholic. Or so I've heard over on the
alt.rock-n-roll.metal newsgroups, an' I figure those folks oughta know..
",15, apr                       geneva rutgers edu  jprzybyl skidmore edu writes    may wrong  wasn t jeff fenholt part black sabbath  he s   major brother christ now  totally changed life around  different  then   ozzy osbourne  ex singer main character black sabbath good ole days past  always devout catholic  i ve heard alt rock n roll metal newsgroups  an  figure folks oughta know  ,religion
